"distbin","SED_type","count"
"0.1","tumor",1336
"0.1","normal",764
"0.2","tumor",670
"0.2","normal",325
"0.3","tumor",484
"0.3","normal",218
"0.4","tumor",334
"0.4","normal",179
"0.5","tumor",248
"0.5","normal",139
"0.6","tumor",219
"0.6","normal",106
"0.7","tumor",178
"0.7","normal",88
"0.8","tumor",149
"0.8","normal",80
"0.9","tumor",110
"0.9","normal",61
"1","tumor",89
"1","normal",65
"1.1","tumor",74
"1.1","normal",57
"1.2","tumor",87
"1.2","normal",40
"1.3","tumor",67
"1.3","normal",27
"1.4","tumor",52
"1.4","normal",25
"1.5","tumor",35
"1.5","normal",29
"1.6","tumor",47
"1.6","normal",29
"1.7","tumor",40
"1.7","normal",17
"1.8","tumor",35
"1.8","normal",23
"1.9","tumor",36
"1.9","normal",18
"2","tumor",37
"2","normal",9
