"","distbin","wilc_pval","FDR"
"1","0.1","1.0377899057828e-76",2.0755798115656e-75
"2","0.2","8.04188352242737e-09",8.04188352242737e-08
"3","0.3","0.00172035914961323",0.00860179574806615
"4","0.4","0.00301622426285128",0.0120648970514051
"5","0.5","0.210325278215986",0.300464683165694
"6","0.6","2.91469318395549e-05",0.000194312878930366
"7","0.7","0.00863016920448213",0.0280599014272091
"8","0.8","0.170253122856075",0.261927881317038
"9","0.9","0.126808153108681",0.23056027837942
"10","1","0.115708062302329",0.23056027837942
"11","1.1","0.0137842372830799",0.0344605932076998
"12","1.2","0.410696086666286",0.483171866666219
"13","1.3","0.00982096549952317",0.0280599014272091
"14","1.4","0.242224053991965",0.317882343026653
"15","1.5","0.809515594208809",0.809515594208809
"16","1.6","0.254305874421322",0.317882343026653
"17","1.7","0.156531739867898",0.260886233113163
"18","1.8","0.0775742168021227",0.172387148449162
"19","1.9","0.506602867975228",0.562892075528031
"20","2","0.785522805130791",0.809515594208809
